date,advertiser_name,impressions,clicks,post_click_activities,post_view_activities,spend,cpm,cpa,cpc,ctr
2013-10-21,Advertiser 1,77,0,0,0,0.31,4.05,0,0,0
2013-10-21,Advertiser 2,10732,23,0,0,55.55,5.18,0,2.42,0.21
2013-10-21,Advertiser 3,16941,14,0,7,78.62,4.64,11.23,5.62,0.08
2013-10-21,Advertiser 4,16994,2,0,0,31.01,1.82,0,15.5,0.01
2013-10-21,Advertiser 5,22816,17,0,0,49.28,2.16,0,2.9,0.07
2013-10-21,Advertiser 6,14571,10,0,0,29.91,2.05,0,2.99,0.07
2013-10-21,Advertiser 7,9766,5,1,147,22.8,2.33,0.15,4.56,0.05
2013-10-21,Advertiser 8,10416,14,0,0,35.65,3.42,0,2.55,0.13
2013-10-21,Advertiser 12,0,1,0,0,0,0,0,0,0
2013-10-21,Advertiser 13,6294,10,0,6,29.43,4.68,4.9,2.94,0.16
2013-10-21,Advertiser 14,81611,1478,0,0,87.79,1.08,0,0.06,1.81
2013-10-21,Advertiser 16,13164,14,0,0,18.9,1.44,0,1.35,0.11
2013-10-21,Advertiser 17,2442,1,0,0,4.87,2,0,4.87,0.04
2013-10-21,Advertiser 18,46476,7,0,0,81.67,1.76,0,11.67,0.02
2013-10-21,Advertiser 19,8962,2,0,0,12.42,1.39,0,6.21,0.02
2013-10-21,Advertiser 20,2208,0,0,0,4.77,2.16,0,0,0
2013-10-21,Advertiser 21,10322,9,0,0,9.46,0.92,0,1.05,0.09
2013-10-21,Advertiser 22,1798,0,0,0,12.82,7.13,0,0,0
2013-10-21,Advertiser 23,20801,5,0,0,24.79,1.19,0,4.96,0.02
2013-10-21,Advertiser 24,15078,5,0,0,42.23,2.8,0,8.45,0.03
2013-10-21,Advertiser 26,47847,30,0,0,89.04,1.86,0,2.97,0.06
2013-10-21,Advertiser 25,19789,10,0,0,32.17,1.63,0,3.22,0.05
2013-10-21,Advertiser 27,8451,4,0,0,5.24,0.62,0,1.31,0.05
2013-10-21,Advertiser 28,22538,4,0,0,40.39,1.79,0,10.1,0.02
2013-10-21,Advertiser 29,402,0,0,0,0.91,2.27,0,0,0
2013-10-21,Advertiser 30,11338,2,0,0,20.36,1.8,0,10.18,0.02
2013-10-21,Advertiser 34,332858,240,0,0,323.6,0.97,0,1.35,0.07
2013-10-21,Advertiser 36,15371,18,0,0,8.85,0.58,0,0.49,0.12
2013-10-22,Advertiser 1,59,0,0,0,0.22,3.67,0,0,0
2013-10-22,Advertiser 2,10130,15,0,1,53.05,5.24,53.05,3.54,0.15
2013-10-22,Advertiser 3,18400,22,0,8,84.41,4.59,10.55,3.84,0.12
2013-10-22,Advertiser 4,14903,2,0,0,29.83,2,0,14.92,0.01
2013-10-22,Advertiser 5,14977,8,0,0,54.1,3.61,0,6.76,0.05
2013-10-22,Advertiser 6,11867,5,0,0,26.56,2.24,0,5.31,0.04
2013-10-22,Advertiser 7,8823,5,0,127,20.7,2.35,0.16,4.14,0.06
2013-10-22,Advertiser 8,9741,5,0,0,32.08,3.29,0,6.42,0.05
2013-10-22,Advertiser 13,5947,10,0,1,27.85,4.68,27.85,2.78,0.17
2013-10-22,Advertiser 14,65358,1333,0,0,88.07,1.35,0,0.07,2.04
2013-10-22,Advertiser 16,4297,3,0,0,20.56,4.78,0,6.85,0.07
2013-10-22,Advertiser 17,2485,2,0,0,4.94,1.99,0,2.47,0.08
2013-10-22,Advertiser 18,40930,9,0,0,81.29,1.99,0,9.03,0.02
2013-10-22,Advertiser 19,7487,1,0,0,11.35,1.52,0,11.35,0.01
2013-10-22,Advertiser 20,813,0,0,0,4.77,5.87,0,0,0
